-0.434,-0.669,2.731,-0.581,-0.985,-1.27,-1.837,-2.031,-0.993,3.793
-0.669,-0.421,0.402,-0.945,0,0.718,-1.168,-2.098,-0.506,2.796
2.731,0.402,0.265,-0.299,-0.463,-0.96,-2.69,-3.594,-0.786,4.788
-0.581,-0.945,-0.299,0.375,1.797,-1.829,-1.533,-2.704,-1.551,4.505
-0.985,0,-0.463,1.797,-1.017,-0.455,-1.805,-0.126,-0.191,1.66
-1.27,0.718,-0.96,-1.829,-0.455,-1.801,0.503,2.195,-0.72,1.237
-1.837,-1.168,-2.69,-1.533,-1.805,0.503,0.269,-1.769,0.774,3.518
-2.031,-2.098,-3.594,-2.704,-0.126,2.195,-1.769,1.387,3,0.683
-0.993,-0.506,-0.786,-1.551,-0.191,-0.72,0.774,3,1.411,-1.574
3.793,2.796,4.788,4.505,1.66,1.237,3.518,0.683,-1.574,-6.065
